"filename", "language", "JavaScript", "SCSS", "JavaScript JSX", "CSS", "XML", "JSON", "HTML", "comment", "blank", "total"
"c:\mearn\netmifi\frontend\.eslintrc.cjs", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\mearn\netmifi\frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 13, 0, 1, 14
"c:\mearn\netmifi\frontend\package-lock.json", "JSON", 0, 0, 0, 0, 0, 5464, 0, 0, 1, 5465
"c:\mearn\netmifi\frontend\package.json", "JSON", 0, 0, 0, 0, 0, 38, 0, 0, 1, 39
"c:\mearn\netmifi\frontend\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\mearn\netmifi\frontend\src\App.jsx", "JavaScript JSX", 0, 0, 9, 0, 0, 0, 0, 0, 3, 12
"c:\mearn\netmifi\frontend\src\assets\icons\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\mearn\netmifi\frontend\src\assets\images\index.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\mearn\netmifi\frontend\src\assets\svg\index.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\mearn\netmifi\frontend\src\assets\svg\logo.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\mearn\netmifi\frontend\src\assets\svg\logoText.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\mearn\netmifi\frontend\src\assets\svg\logoTextWhite.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\mearn\netmifi\frontend\src\components\Button.jsx", "JavaScript JSX", 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"c:\mearn\netmifi\frontend\src\components\Card.jsx", "JavaScript JSX", 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"c:\mearn\netmifi\frontend\src\constants\index.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\mearn\netmifi\frontend\src\css\base.css", "CSS", 0, 0, 0, 83, 0, 0, 0, 0, 2, 85
"c:\mearn\netmifi\frontend\src\css\reusables.css", "CSS", 0, 0, 0, 12, 0, 0, 0, 0, 1, 13
"c:\mearn\netmifi\frontend\src\hooks\useWindowSize.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 6, 24
"c:\mearn\netmifi\frontend\src\index.css", "CSS", 0, 0, 0, 57, 0, 0, 0, 2, 15, 74
"c:\mearn\netmifi\frontend\src\layouts\Footer.jsx", "JavaScript JSX", 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\mearn\netmifi\frontend\src\layouts\Navbar.jsx", "JavaScript JSX", 0, 0, 15, 0, 0, 0, 0, 47, 5, 67
"c:\mearn\netmifi\frontend\src\layouts\_nav\Cartbar.jsx", "JavaScript JSX", 0, 0, 15, 0, 0, 0, 0, 0, 2, 17
"c:\mearn\netmifi\frontend\src\layouts\_nav\FirstTopbar.jsx", "JavaScript JSX", 0, 0, 17, 0, 0, 0, 0, 2, 2, 21
"c:\mearn\netmifi\frontend\src\layouts\_nav\LastTopbar.jsx", "JavaScript JSX", 0, 0, 33, 0, 0, 0, 0, 2, 6, 41
"c:\mearn\netmifi\frontend\src\layouts\_nav\MidTopbar.jsx", "JavaScript JSX", 0, 0, 23, 0, 0, 0, 0, 1, 3, 27
"c:\mearn\netmifi\frontend\src\layouts\_nav\Notificationbar.jsx", "JavaScript JSX", 0, 0, 14, 0, 0, 0, 0, 0, 2, 16
"c:\mearn\netmifi\frontend\src\layouts\_nav\Sidebar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\mearn\netmifi\frontend\src\layouts\_nav\Topbar.jsx", "JavaScript JSX", 0, 0, 13, 0, 0, 0, 0, 1, 2, 16
"c:\mearn\netmifi\frontend\src\layouts\_nav\User.jsx", "JavaScript JSX", 0, 0, 25, 0, 0, 0, 0, 0, 2, 27
